ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberIndependent
143,026-34057,1(2006-07),17-Feb-07,6:30,7:45,75,0,I,AHY,1,0.480,0.000723,0.000001,48.0,0.10,0.01,186,13.33,177.7242,18.6,1.30,1.6900,10.91,0.8544,0.7301,2.5,0.39,0.1557,3.0,0.89,0.7842,0.179390,0.032181,1.517380,2.302442,0
145,026-34057,3(2008-09),29-Dec-08,6:03,9:56,233,0,B,A1Y,3,0.450,-0.029277,0.000857,45.0,-2.90,8.41,165,-7.67,58.8086,16.5,-0.80,0.6400,11.78,1.7182,2.9521,2.5,0.39,0.1557,4.0,1.89,3.5553,2.348748,5.516617,1.504159,2.262494,1
146,026-34057,4(2009-10),20-Dec-09,4:58,7:30,152,0,pre,A1Y,4,0.500,0.020723,0.000429,50.0,2.10,4.41,172,-0.67,0.4471,17.2,-0.10,0.0100,9.95,-0.1082,0.0117,2.0,-0.11,0.0111,3.0,0.89,0.7842,-0.183739,0.033760,0.441358,0.194797,1
147,026-34058,1(2006-07),16-Nov-06,4:52,15:35,643,1,pre,AHY,1,0.490,0.010723,0.000115,49.0,1.10,1.21,178,5.33,28.4230,17.8,0.50,0.2500,9.81,-0.2538,0.0644,1.5,-0.61,0.3665,2.0,-0.11,0.0131,-0.779026,0.606881,-0.545457,0.297524,0
148,026-34059,2(2007-08),15-Dec-07,5:55,5:54,-1,0,pre,A1Y,2,0.490,0.010723,0.000115,49.0,1.10,1.21,168,-4.67,21.7965,16.8,-0.50,0.2500,9.98,-0.0785,0.0062,3.0,0.89,0.8003,3.0,0.89,0.7842,0.519206,0.269574,1.283365,1.647027,2
151,026-34060,2(2007-08),17-Feb-08,6:30,10:35,245,0,I,A1Y,2,0.460,-0.019277,0.000372,46.0,-1.90,3.61,161,-11.67,136.1580,16.1,-1.20,1.4400,11.08,1.0193,1.0390,3.0,0.89,0.8003,4.0,1.89,3.5553,2.181652,4.759607,1.711605,2.929593,0
156,026-34083,2(2007-08),08-Jan-08,6:08,6:58,50,1,B,A1Y,2,0.470,-0.009277,0.000086,47.0,-0.90,0.81,156,-16.67,277.8447,15.6,-1.70,2.8900,10.01,-0.0472,0.0022,2.0,-0.11,0.0111,2.0,-0.11,0.0131,0.817823,0.668834,-0.679136,0.461225,2
159,026-34083,3(2008-09),13-Feb-09,6:29,8:59,150,1,I,A1Y,3,0.460,-0.019277,0.000372,46.0,-1.90,3.61,173,0.33,0.1098,17.3,0.00,0.0000,9.94,-0.1157,0.0134,1.0,-1.11,1.2220,0.0,-2.11,4.4709,-0.679775,0.462094,-2.309187,5.332346,0
162,026-34084,1(2006-07),16-Nov-06,4:52,15:35,643,1,pre,AHY,1,0.400,-0.079277,0.006285,40.0,-7.90,62.41,147,-25.67,658.8809,14.7,-2.60,6.7600,9.78,-0.2836,0.0804,2.0,-0.11,0.0111,2.0,-0.11,0.0131,2.427104,5.890834,-1.835499,3.369056,0
163,026-34084,2(2007-08),22-Feb-08,6:32,7:18,46,1,L,A1Y,2,0.460,-0.019277,0.000372,46.0,-1.90,3.61,166,-6.67,44.4712,16.6,-0.70,0.4900,9.79,-0.2721,0.0740,2.0,-0.11,0.0111,3.0,0.89,0.7842,0.760334,0.578108,-0.253446,0.064235,3
